FunctionID_f,AvgServiceTimeMilliseconds,Invocations30Days
7149,1,1440
7195,101,1440
7196,9,1440
7213,1,1440
7237,1,1440
7240,1,1440
7244,1,1440
7329,775,1440
7359,114,1440
7406,1725,1440
7463,222,1440
7468,132,1440
7535,1,1440
7607,35,1440
7675,1,1440
7742,2687,1440
7746,2731,1440
7809,1172,1440
7863,1,1440
7865,444,1440
7885,82,1440
7935,134,1440
7973,7,1440
7994,128,1440
7995,108,1440
8028,82,1440
8033,436,1440
8034,2,1440
8055,4105,1440
8080,188,1440
8091,120,1440
8105,1,1440
8110,444,1440
8128,1,1440
8145,11429,1440
8154,238,1440
8180,120,1440
8191,37809,1440
8261,224,1440
8264,71,1440
8289,166,1440
8350,189,1440
8351,542,1440
8358,10,1440
8360,6655,1440
8390,1036,1440
8393,1,1440
8414,1751,1440
8427,1,1440
8442,152,1440
8450,400,1440
8473,1,1440
8482,145,1440
8611,1,1440
8616,516,1440
8618,1913,1440
8641,1061,1440
8668,220,1440
8672,1091,1440
8674,59,1440
8690,110,1440
8698,127,1440
8704,37,1440
8732,329,1440
8745,1140,1440
8746,1,1440
8759,10,1440
8798,142,1440
8799,2,1440
8829,1,1440
8834,117,1440
8851,45,1440
8982,146,1440
8984,10,1440
9062,276,1440
9096,208,1440
9118,777,1440
9174,140,1440
9192,1495,1440
9207,4373,1440
9213,1,1440
9229,107,1440
9274,1,1440
9278,144,1440
9293,116,1440
9338,13,1440
9343,1,1440
9347,1155,1440
9369,1291,1440
9375,1070,1440
9440,952,1440
9465,836,1440
9493,840,1440
9532,192,1440
9533,10,1440
9555,160,1440
9585,97,1440
9625,94,1440
9638,1,1440
9687,134,1440
9705,1,1440
9780,279,1440
9787,227,1440
9853,1670,1440
9875,4777,1440
9965,912,1440
9988,1,1440
10030,1,1440
10057,2926,1440
10082,160,1440
10098,1133,1440
10116,210,1440
10120,11147,1440
10134,231,1440
10146,195,1440
10150,1,1440
10225,1,1440
10272,66,1440
10275,1333,1440
10306,10706,1440
10329,178,1440
10406,131,1440
10417,2,1440
10434,11,1440
10448,1,1440
10449,147,1440
10498,1,1440
10512,1,1440
10524,1,1440
10551,1123,1440
10557,140,1440
10559,175,1440
10583,11774,1440
10721,5,1440
10733,1000,1440
10772,12337,1440
10829,1,1440
10830,137,1440
10831,112,1440
10836,1,1440
10839,59222,1440
882,1210,1439
901,621,1439
1171,10786,1439
1191,13,1439
2042,1787,1439
2479,29820,1439
2647,16439,1439
2714,173,1439
2878,1177,1439
3002,108,1439
4185,75,1439
4948,254,1439
5792,154,1439
5813,492,1439
6782,41,1439
7117,330,1439
7378,11435,1439
9164,29660,1439
9494,1,1439
56,16420,1438
665,1695,1438
964,296,1438
1017,1963,1438
4255,1392,1438
6079,37,1438
8220,701,1438
9235,841,1438
9327,32,1438
2519,108,1437
2690,177,1437
3353,1412,1437
4449,5065,1437
7486,381,1437
7667,1053,1437
8340,6304,1437
9290,1852,1437
9880,1,1437
9902,170,1437
9978,7276,1437
4963,637,1436
7712,30022,1436
8099,317,1436
9254,5996,1436
10768,369,1436
2207,2534,1435
5596,73,1435
132,1,1434
2281,2076,1434
3355,1006,1434
5467,1670,1434
7239,16,1434
9402,65,1434
4066,11,1433
8339,1,1433
10392,274,1433
1613,1,1432
8861,1945,1432
5154,121,1431
1030,19,1430
6307,13509,1430
9577,27,1430
229,1280,1429
8492,41449,1428
5738,1,1425
3532,349,1422
5069,18993,1422
1906,157,1421
9449,18507,1421
10497,14,1421
8460,1011,1417
4266,20628,1414
1489,96,1411
3690,1335,1410
2372,1,1409
10241,106,1406
8453,45,1404
8594,10342,1402
859,1508,1400
3445,2,1400
7150,59,1398
8997,554,1398
9384,157,1396
2643,15,1395
4741,551,1387
3046,253,1380
7860,1,1376
7830,154,1362
3334,6,1360
4540,13,1360
4179,21770,1356
593,268,1350
10520,4,1350
3349,1041,1340
779,104,1339
20,115,1327
8237,150,1326
6031,1,1321
6162,111,1317
4318,1006,1313
9616,16127,1313
8471,15,1307
10687,20,1304
3611,2,1298
2480,134,1287
1561,148,1281
2674,11,1281
394,24,1280
2943,145,1269
5208,226,1269
3250,159,1253
8391,100,1253
3708,6622,1245
8078,1,1245
6111,3,1232
6385,10168,1222
7442,225,1209
2338,105,1208
3899,118,1204
2733,112,1202
1050,1,1200
3434,3363,1200
10052,64,1200
5366,20,1199
4502,1224,1196
4844,289,1195
7219,1,1195
1163,263,1192
6497,151,1186
7852,10040,1185
7587,117,1183
7225,110,1180
4649,42,1179
6126,34287,1163
8133,61,1162
6921,1002,1156
8166,1093,1155
2723,19,1152
8402,1,1152
9285,11,1152
9874,110,1152
1565,19,1140
2190,213,1140
9943,102,1139
1682,110,1138
5245,103,1137
3259,182,1130
2751,10,1129
10471,104,1126
682,1358,1125
3806,127,1125
1103,1126,1120
10850,172,1119
4309,104,1111
9546,1037,1108
7420,1836,1106
10851,2113,1103
5850,1175,1098
4219,2123,1092
6484,27,1091
1298,307,1090
5046,1898,1086
8171,188,1080
5114,10,1078
6569,877,1066
1670,20,1064
6567,656,1062
3196,108,1047
10383,1127,1043
3055,319,1036
10162,28,1032
5989,74,1021
1468,1200,1019
7162,21,1009
3301,12,1005
5613,1226,1005
1567,447,1001
3781,15,1000
10107,28,1000
619,20,998
855,104,998
2012,2527,993
4607,24547,991
10390,3490,990
914,593,989
3013,15,987
9538,17759,986
8297,1012,985
1033,201,984
2677,560,984
3576,104,980
6074,240,978
1058,4796,972
1527,138,968
5058,1791,964
10217,529,964
1279,957,960
9850,11622,956
1225,403,954
9843,238,946
4283,333,944
7618,121,944
3080,109,943
10071,32049,939
2747,4,934
4099,1254,934
1784,49,932
8041,1744,922
4922,1357,915
7105,369,913
8715,116,913
8491,190,912
3644,228,907
1592,111,900
1710,1,900
2579,1,900
6773,1,899
5722,121,897
2933,4748,895
10494,11541,893
578,11743,890
1131,289,890
7044,910,890
2784,176,888
4600,124,885
7626,177,884
7342,79767,883
9352,2,882
3340,12,876
9316,32630,874
9172,16000,869
6806,10,867
6909,1485,867
1188,145,864
8554,1,864
10782,15,864
8503,40381,863
3515,80201,862
3643,14,860
912,392,859
4429,1218,857
8592,151,855
9628,119,854
5633,80,849
7580,1922,843
3070,11,840
8255,1266,829
4329,369,827
8087,156,826
4247,10770,823
399,1047,813
6067,1452,811
8244,111318,810
7509,13,802
2739,13,797
4715,369,792
9000,306,792
971,300062,784
4885,129,782
7655,1007,780
8032,102,780
5070,1055,770
8326,10617,765
6911,22752,763
6179,85,759
3275,1051,758
9169,101,758
8955,3406,753
3312,115228,746
1975,9610,745
4368,1,739
7488,1648,739
9829,180,735
2637,62,734
6114,37,727
1654,100,726
1550,20,724
1383,1404,722
5203,174,722
5807,1116,722
5971,187,722
10552,14,722
10668,772,721
82,2281,720
114,1,720
164,165,720
172,3950,720
198,3742,720
528,1366,720
613,103,720
741,269,720
748,1,720
808,357,720
1003,152,720
1028,1,720
1154,24245,720
1277,21327,720
1314,16,720
1558,1,720
1562,1,720
1871,27034,720
2070,8711,720
2166,118,720
2289,149,720
2396,1136,720
2549,15,720
2569,1921,720
2746,31,720
2792,104,720
3050,1,720
3536,1,720
3627,4,720
3859,7819,720
3889,1007,720
4045,1739,720
4199,14601,720
4234,63872,720
4523,101,720
4527,1,720
4674,198,720
4692,661,720
4739,699,720
5010,114,720
5131,126,720
5509,782,720
5587,124,720
5751,7,720
5785,1033,720
6517,296,720
6539,286,720
6771,1648,720
6858,18,720
6876,109,720
7019,47,720
7037,10013,720
7199,2565,720
7252,1052,720
7253,2213,720
7404,1,720
7921,1,720
8061,1,720
8246,183,720
8514,14,720
8670,255,720
8673,1015,720
8718,14163,720
9329,1033,720
9341,143,720
9391,1508,720
9842,1,720
9909,364,720
10135,3396,720
10227,9497,720
10253,1,720
10699,426,720
10804,496,720
2032,160,719
4484,1,719
7260,30032,719
8631,19951,719
1602,1,718
5261,249,718
2351,1556,717
4667,1222,717
7072,1168,717
150,117,715
3075,10253,715
10666,115776,715
1847,1243,713
3329,118334,706
5284,121999,706
1121,2265,703
4251,150,703
10391,140,703
2134,195,701
4274,231,700
7399,157,697
9022,1332,690
9973,44,690
2110,1160,688
7291,21366,686
1172,2699,685
